date,close,high,low,open,volume,ticker,sector
2024-03-08,352.6653137207031,355.75413569075045,351.4845674104201,354.2238930849139,2162900,HD,Consumer Discretionary
2024-03-11,350.9366455078125,352.3157777984113,348.4334693769202,350.9744374569989,2833700,HD,Consumer Discretionary
2024-03-12,353.7893371582031,355.07397512770444,351.77734111387775,351.8718065708847,2843800,HD,Consumer Discretionary
2024-03-13,357.9927673339844,361.50666892980684,354.96061937827926,355.19676860158233,3761200,HD,Consumer Discretionary
2024-03-14,354.4789123535156,359.13579755782644,351.5506846609315,357.05767258875386,3877500,HD,Consumer Discretionary
2024-03-15,352.5519104003906,357.4543706041267,351.9001362350285,353.39258664915025,9234900,HD,Consumer Discretionary
2024-03-18,351.3050231933594,356.67978165633576,350.5776939856396,355.6312641472243,3455600,HD,Consumer Discretionary
2024-03-19,358.3895263671875,358.4367446831868,352.4574587717766,354.11995860102655,3493800,HD,Consumer Discretionary
2024-03-20,363.1125183105469,363.556480031711,355.3857221502795,358.3989887377275,2750400,HD,Consumer Discretionary
2024-03-21,373.3047790527344,374.88224003968173,366.7776097443842,366.8909567821511,4212200,HD,Consumer Discretionary
2024-03-22,368.65728759765625,374.4571265675823,368.4778118753419,372.8229635058607,2910900,HD,Consumer Discretionary
2024-03-25,362.2624206542969,368.2605888071,361.6767751007859,367.54271465770626,2683900,HD,Consumer Discretionary
2024-03-26,358.8807373046875,362.9708585262335,358.38010203937176,361.22334828159103,2720200,HD,Consumer Discretionary
2024-03-27,364.510498046875,364.91666778036324,359.64580113100965,359.74972177609305,2536500,HD,Consumer Discretionary
2024-03-28,362.347412109375,366.13522644728715,358.6823711659725,365.6818383400209,4108200,HD,Consumer Discretionary
2024-04-01,347.6400451660156,361.91292133543175,347.46056942346416,360.33543160532525,4333200,HD,Consumer Discretionary
2024-04-02,342.8887023925781,346.5348328841804,342.85091044201926,344.3055978570103,4650500,HD,Consumer Discretionary
2024-04-03,339.9604187011719,342.3219109522592,339.1102872561424,341.9440779574472,4723000,HD,Consumer Discretionary
2024-04-04,337.86346435546875,344.7779216477718,337.1361350080019,342.5203208718923,4381600,HD,Consumer Discretionary
2024-04-05,338.04290771484375,339.422011197805,336.29539758251804,337.86343198722693,3243400,HD,Consumer Discretionary
2024-04-08,341.9913635253906,342.4825724593727,337.466764237834,338.23188557150496,4339600,HD,Consumer Discretionary
2024-04-09,341.396240234375,344.25836782204254,338.85527214849725,343.48379140941427,3022600,HD,Consumer Discretionary
2024-04-10,331.1379089355469,334.37786959914945,329.4281907392173,332.3753286505299,4805200,HD,Consumer Discretionary
2024-04-11,328.1246032714844,332.4130810432881,326.63215293182844,331.5912863958288,4104700,HD,Consumer Discretionary
2024-04-12,323.8739318847656,326.9438717850644,322.5892939479707,326.9438717850644,3550300,HD,Consumer Discretionary
2024-04-15,319.2076416015625,326.9061010077978,318.5086490805001,326.75499086282053,4209200,HD,Consumer Discretionary
2024-04-16,316.27935791015625,319.3776344966776,314.5129663721285,318.1591252873227,4525500,HD,Consumer Discretionary
2024-04-17,314.3902282714844,318.56535998007735,313.5495518740825,318.1213982067212,4273800,HD,Consumer Discretionary
2024-04-18,314.4469299316406,318.28199169874716,312.9733319936626,317.05399822156795,3717300,HD,Consumer Discretionary
2024-04-19,316.7799987792969,317.26175241714594,314.1540205816031,316.1660165669616,3076600,HD,Consumer Discretionary
2024-04-22,317.488525390625,320.64350515118963,315.2214980592462,319.48164031145535,3112800,HD,Consumer Discretionary
2024-04-23,320.2183532714844,321.34242590327244,317.6585037106439,319.2737563591791,3697400,HD,Consumer Discretionary
2024-04-24,314.56024169921875,318.84869112629605,313.4361690148725,318.39530303634893,4029200,HD,Consumer Discretionary
2024-04-25,313.58734130859375,314.4658096530228,308.7887721168121,311.45254273554656,3787800,HD,Consumer Discretionary
2024-04-26,316.5250244140625,317.22401701175716,312.65217071447165,312.6616259096236,2465300,HD,Consumer Discretionary
2024-04-29,318.1402282714844,318.6503186752156,315.6370522213005,316.4399653614602,2427400,HD,Consumer Discretionary
2024-04-30,315.7032165527344,318.74482010418797,314.4185496181336,317.1201120799305,3089900,HD,Consumer Discretionary
2024-05-01,313.5778503417969,316.8083845914746,311.17856601960636,314.5602392403555,3267500,HD,Consumer Discretionary
2024-05-02,316.94061279296875,317.38457451157825,312.6427082105156,316.9122760376027,3213600,HD,Consumer Discretionary
2024-05-03,323.8551025390625,327.661827476111,321.5124914905657,322.3720782604559,4165100,HD,Consumer Discretionary
2024-05-06,323.32611083984375,327.18950905850903,321.5786006480551,326.8305575910613,3366100,HD,Consumer Discretionary
2024-05-07,321.8147888183594,326.39609052602856,321.5219660230377,324.5635698429609,2930700,HD,Consumer Discretionary
2024-05-08,320.05780029296875,321.57861650739795,318.9243011484463,320.01058197200217,3123200,HD,Consumer Discretionary
